	GOV.UK	NHS UK	ONS UK	18F	shadcn	Flowbite	SkeletonUI	IBM Carbon
Web URL	?	?	?	?	?	?	?	?
Git URL	?	?	?	?	?	?	?	?
Contact Peron	?	?	?	?	?	?	?	?
Contact Email	?	?	?	?	?	?	?	?
Provenance	Original	Derived	Derived	Original	Original	Original	Original	Original
Licensing	?	?	?	?	?	?	?	?
Implementation Technologies	?	?	?	?	JS, TS, Svelte, React, Vue, etc.	JS, TS, Svelte, React, Vue, etc.	JS, TS, Svelte, React, Vue, etc.
Capability 1	?	?	?	?	?	?	?	?
Capability 2	?	?	?	?	?	?	?	?
Capability 3	?	?	?	?	?	?	?	?
Accessibility Compliance Statement	?	?	?	?	?	?	?	?
Desktop	?	?	?	?	✅	?	?	?
Phone/Tablet	?	?	?	?	✅	?	?	?
Watch	?	?	?	?	?	?	?	?
TV	?	?	?	?	?	?	?	?
VR/AR	?	?	?	?	?	?	?	?
